transaction_id,transaction_timestamp,customer_id,product_id,store_id,quantity,unit_price,discount,tax,payment_method,salesperson,total_amount
f8820c26-747d-43a5-9401-3e5ff29d85a3,2026-04-20T17:17:32.616344,C0359,P0237,S013,1,3742.08,366.08,607.68,CASH,EMP259,3983.68
bfb968d9-69e7-49b9-be5d-607477d4ce0e,2025-11-24T17:17:32.616344,C0344,P0337,S047,4,2784.18,70.47,1991.92,UPI,EMP126,13058.17
8e8dbd94-d211-4141-8eec-07c98eb72514,2026-01-26T17:17:32.616344,C0295,P0286,S011,2,7043.78,1926.91,2188.92,UPI,EMP058,14349.57
a7a0563b-15fb-4dc5-a1f6-80bce90952db,2026-04-12T17:17:32.616344,C0420,P0266,S035,1,12018.09,1858.56,1828.72,CASH,EMP190,11988.25
49f26d80-a9e9-4d50-8d26-d8d2a7e14cfe,2025-12-21T17:17:32.616344,C0007,P0196,S001,5,1495.99,109.24,1326.73,UPI,EMP115,8697.44
983e85eb-a64a-43a8-9afd-29875092dd93,2025-11-06T17:17:32.616344,C0037,P0289,S035,1,10005.46,49.51,1792.07,WALLET,EMP145,11748.02
2ac528f7-3c5d-4419-a411-5edaca2f7af9,2025-08-28T17:17:32.616344,C0397,P0231,S048,2,34921.78,11923.71,10425.57,CASH,EMP177,68345.42
98c68615-3745-42e6-a05c-e615e3cd036c,2026-01-04T17:17:32.616344,C0652,P0233,S031,2,34246.97,7777.88,10928.89,CARD,EMP074,71644.95
8f4102fa-5b1b-41c9-be1d-640569ff1143,2025-12-31T17:17:32.616344,C0749,P0090,S025,3,25394.37,16797.19,10689.47,UPI,EMP222,70075.39
25d5513c-80bf-40d1-8464-38f4dce6a5e5,2025-10-03T17:17:32.616344,C0148,P0022,S030,4,24459.51,17383.03,14481.9,CARD,EMP206,94936.91
d4b935a7-bd66-4d21-979d-5395e1df65b8,2025-12-06T17:17:32.616344,C0642,P0181,S014,4,14379.11,6055.63,9262.95,WALLET,EMP232,60723.76
b5b5d9ba-7aa0-4728-81e5-0e5c3b99236a,2025-12-15T17:17:32.616344,C0398,P0238,S024,3,9235.15,2258.07,4580.53,CARD,EMP272,30027.91
9143734b-0f90-451a-a7dc-f8f51a863ec1,2025-08-04T17:17:32.616344,C0223,P0365,S013,5,7332.05,1783.54,6277.81,CASH,EMP238,41154.52
5ac183f7-24fc-42ab-817d-9f2b74345a0a,2026-03-20T17:17:32.616344,C0783,P0406,S027,3,18494.72,8932.95,8379.22,WALLET,EMP073,54930.43
59baab9c-b81a-4aee-88ba-a56e6c2f3445,2025-08-22T17:17:32.616344,C0556,P0334,S029,3,22007.16,14932.01,9196.1,WALLET,EMP027,60285.57
cfe3d61d-751f-47b6-b310-fb9722a657ae,2025-11-28T17:17:32.616344,C0346,P0283,S011,4,2119.81,1986.52,1168.69,CARD,EMP227,7661.41
9d5839f2-b012-4ce2-a923-ca90c3bba60f,2025-07-24T17:17:32.616344,C0582,P0342,S012,3,5864.6,4326.46,2388.12,CARD,EMP206,15655.46
8900b121-52d3-41a0-b045-a250dbd4c03f,2026-03-04T17:17:32.616344,C0821,P0102,S010,4,1895.95,600.05,1257.08,CARD,EMP250,8240.83
ef8802f6-0a15-4147-adbe-e2448dea9349,2026-06-19T17:17:32.616344,C0956,P0391,S040,5,28118.71,25845.23,20654.7,UPI,EMP034,135403.02
21a65010-906d-4dfd-83e0-4899e99c33ef,2026-01-28T17:17:32.616344,C0009,P0472,S004,3,27638.77,17673.63,11743.68,CASH,EMP104,76986.36
3b4330ba-0f16-4979-bf5e-3dbc1558daa6,2026-01-27T17:17:32.616344,C0981,P0110,S020,1,16253.04,1474.72,2660.1,WALLET,EMP244,17438.42
e763ff4e-c189-4801-b2bd-9b098ace7908,2026-04-17T17:17:32.616344,C0180,P0149,S020,1,2732.57,548.11,393.2,CARD,EMP084,2577.66
7ac60126-ecf8-4e35-b05d-b3771d9b4537,2025-09-28T17:17:32.616344,C0546,P0467,S040,4,28012.97,4433.9,19371.24,WALLET,EMP144,126989.22
ca471f1f-ea07-4b85-bd7f-b90067dd7601,2026-05-19T17:17:32.616344,C0926,P0128,S008,2,15905.86,7230.68,4424.59,UPI,EMP070,29005.63
431cc575-a61a-4dac-a052-d8fb96005794,2025-09-10T17:17:32.616344,C0485,P0195,S031,2,30263.4,11608.1,8805.37,CASH,EMP226,57724.07
38449504-a9c9-4ee3-b306-90c64a65cf3b,2025-09-20T17:17:32.616344,C0187,P0230,S002,4,12916.32,12226.64,7098.96,CASH,EMP174,46537.6
c39a78fe-6431-4b53-9c13-ee0d41eb4d22,2026-02-04T17:17:32.616344,C0908,P0190,S005,2,15434.31,1041.38,5368.9,WALLET,EMP077,35196.14
